RSA,NOTAM,REMARK,MNM FL,MAX FL,WEF,UNT,FUA/EU RS,FIR,UIR
EPD29Z,,,095,500,11:30,06:00,EPD29ZR,,
EPD30,,,000,050,11:30,14:00,EPD30R,,
EPD31,,,000,095,11:30,06:00,EPD31R,,
EPD31Z,,,095,135,11:30,06:00,EPD31ZR,,
EPD33,,,000,095,11:30,16:00,EPD33R,,
EPD33Z,,,095,165,11:30,16:00,EPD33ZR,,
EPD37,,,000,095,11:30,14:30,EPD37R,,
EPD37Z,,,095,135,11:30,14:30,EPD37ZR,,
EPD38,,,000,035,11:30,06:00,EPD38R,,
EPD53A,,,000,095,11:30,23:00,EPD53AR,,
EPD53AZ,,,095,330,11:30,23:00,EPD53AZR,,
EPP1,,,000,035,11:30,06:00,,,
EPP10,,,000,030,11:30,06:00,,,
EPP11,,,000,050,11:30,06:00,,,
EPP12,,,000,015,11:30,06:00,,,
EPP13,,,000,095,11:30,06:00,,,
EPP14,,,000,050,11:30,06:00,,,
EPP15,,,000,030,11:30,06:00,,,
EPP18,,,000,030,11:30,06:00,,,
EPP19,,,000,030,11:30,06:00,,,
EPP2,,,000,035,11:30,06:00,,,
EPP20,,,000,035,11:30,06:00,,,
EPP21,,,000,020,11:30,06:00,,,
EPP22,,,000,020,11:30,06:00,,,
EPP23,,,000,030,11:30,06:00,,,
EPP24,,,000,030,11:30,06:00,,,
EPP25,,,000,020,11:30,06:00,,,
EPP26,,,000,020,11:30,06:00,,,
EPP27,,,000,030,11:30,06:00,,,
EPP28,,,000,015,11:30,06:00,,,
EPP29,,,000,010,11:30,06:00,,,
EPP3,,,000,050,11:30,06:00,,,
EPP30,,,000,035,11:30,06:00,,,
EPP31,,,000,035,11:30,06:00,,,
EPP32,,,000,035,11:30,06:00,,,
EPP33,,,000,035,11:30,06:00,,,
EPP34,,,000,015,11:30,06:00,,,
EPP4,,,000,050,11:30,06:00,,,
EPP5,,,000,050,11:30,06:00,,,
EPP6,,,000,050,11:30,06:00,,,
EPP7,,,000,050,11:30,06:00,,,
EPP9,,,000,010,11:30,06:00,,,
EPR10,,,000,075,11:30,06:00,,,
EPR11,,,000,075,11:30,06:00,,,
EPR12,,,000,040,11:30,06:00,,,
EPR13,,,000,085,11:30,06:00,,,
EPR14,,,000,050,11:30,06:00,,,
EPR15,,,000,065,11:30,06:00,,,
EPR16,,,000,045,11:30,06:00,,,
EPR17,,,000,040,11:30,06:00,,,
EPR18,,,000,055,11:30,06:00,,,
EPR19,,,000,115,11:30,06:00,EPR19R,,
EPR20,,,000,040,11:30,06:00,,,
EPR21,,,000,040,11:30,06:00,,,
EPR22,,,000,040,11:30,06:00,,,
EPR23,,,000,040,11:30,06:00,,,
EPR24,,,000,040,11:30,06:00,,,
EPR25,,,000,040,11:30,06:00,,,
EPR26,,,000,065,11:30,06:00,,,
EPR27,,,000,065,11:30,06:00,,,
EPR28,,,000,040,11:30,06:00,,,
EPR29,,,000,040,11:30,06:00,,,
EPR29N,,,000,040,11:30,06:00,,,
EPR29S,,,000,040,11:30,06:00,,,
EPR30,,,000,035,11:30,06:00,,,
EPR40A,,,000,165,11:30,06:00,EPR40AR,,
EPR40AZ,,,095,165,11:30,06:00,EPR40AZR,,
EPR40B,,,165,410,11:30,06:00,EPR40BR,,
EPR40BZ,,,165,405,11:30,06:00,EPR40BZR,,
EPR40C,,,410,660,11:30,06:00,EPR40CR,,
EPR40CZ,,,405,660,11:30,06:00,EPR40CZR,,
EPR41,,,000,010,11:30,06:00,,,
EPR8,,,000,090,11:30,06:00,,,
EPR9,,,000,100,11:30,06:00,EPR9R,,
EPTR04A,,,000,095,11:30,14:30,,,
EPTR04A,,,000,095,14:30,15:00,,,
EPTR04B,,,000,095,11:30,14:30,EPTR04BR,,
